Mes,ID,Público,Nombre,Workflow,Link,Desempeño,Publicado,Cantidad de Leads
1,24KS2-4,Florida,Corto Florida General 2024,Enviado a MB,https://drive.google.com/file/d/1hdovEp1t2aA5sXt6fVdBSE7Afye0Y0_d/view?usp=sharing,No funcionó,Yes,
2,CS02-1,Florida,Barco Febrero FL,Enviado a MB,https://drive.google.com/file/d/18tORek38W7-VhZB-1UzsoAb9Acf9YdfS/view?usp=sharing,No funcionó,Yes,
2,CS02-2,Florida,USA a la Vanguardia (FL),Enviado a MB,https://drive.google.com/file/d/1cGD4l86NHePeRpr6WU-snS7mFOnx5t59/view?usp=sharing,Trajo Leads,Yes,
2,24KS2-6,Texas,Texas: lo último en hogar,Enviado a MB,https://drive.google.com/file/d/1Jwjz-p4jEWZwxkbCJf7VspUKshvLoScq/view?usp=sharing,Trajo Cierres,Yes,
2,24KS2-7,Texas,Texas: público latino,Enviado a MB,https://drive.google.com/file/d/14bJLblwBNJEZH0Vmyp_oeuu1ov0dgKzn/view?usp=sharing,Trajo Leads,Yes,
2,CS02-3,Florida,Pedido Agustín 1,Enviado a MB,https://drive.google.com/file/d/1YRxdprHIeQRWUsCJ54Ug9Jd5Ojt7z5Ev/view?usp=sharing,No funcionó,Yes,
2,CS02-4,Florida,Pedido Agustín 2,Enviado a MB,https://drive.google.com/file/d/1Uk_PSiWuRtFC_TAECSMosBkwjWxifs17/view?usp=sharing,No funcionó,Yes,
2,CS02-6,USA,Remake T (MENOS FL porque no hace frio),Enviado a MB,https://drive.google.com/file/d/1hos0Pzw-zzcipr-1IWkRKtRceaaeCpqr/view?usp=sharing,No funcionó,Yes,
2,CS02-16,Pensilvania,Pensilvania Corto,Enviado a MB,https://drive.google.com/file/d/1lCQawM6xEbmLbhQdVvZ8oVlHTc7LrGxu/view?usp=sharing,,No,
2,CS02-9,Las Vegas,Resumen SuperBowl,Enviado a MB,https://drive.google.com/file/d/1azjzXh3F0XpCQbdzoWdpodu8niees3rB/view?usp=sharing,Trajo Leads,Yes,
2,CS02-8,Las Vegas,Drama LV,Enviado a MB,https://drive.google.com/file/d/1FnR7ucFah0RKwUKchHf4Q71pmnzZrsF7/view?usp=sharing,No funcionó,Yes,
